,0
0,"(""free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's"", 1)"
1,"('winner!! as a valued network customer you have been selected to receivea å£900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.', 1)"
2,"('had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030', 1)"
3,"('urgent! you have won a 1 week free membership in our å£100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18', 1)"
4,"('07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow', 1)"
5,"('congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out! ', 1)"
6,"('as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a å£1500 bonus prize, call 09066364589', 1)"
7,"('please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed å£1000 cash or å£5000 prize!', 1)"
8,"('your free ringtone is waiting to be collected. simply text the password \\mix\\"" to 85069 to verify. get usher and britney. fml', 1)"
9,"('gent! we are trying to contact you. last weekends draw shows that you won a å£1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm', 1)"
10,"('urgent! your mobile no. was awarded å£2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm', 1)"
11,"(""you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again"", 1)"
12,"('urgent! we are trying to contact you. last weekends draw shows that you have won a å£900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only', 1)"
13,"('please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed å£1000 cash or å£5000 prize!', 1)"
14,"('will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries', 1)"
